date	sentiment	text	title
Tue, 16 Jul 2019 08:34:19 -0400	Positive	"Mark McCormick, global head of FX Strategy at TD Securities, and Bloomberg Intelligence's Alison Williams examine second-quarter results from Goldman Sachs Group Inc. They speak on ""Bloomberg Daybreak: Americas."""	Goldman Sachs Beats Q2 Equities Trading Revenue Estimate
Tue, 16 Jul 2019 08:15:17 -0400	Positive	"Stock futures climbed as Dow Jones stocks Goldman Sachs and JPMorgan set the tone early Tuesday, ahead of a busy day for FANG stocks on Capitol Hill.
The post Stock Futures Climb As Dow Jones Stocks Goldman, J&J and JPMorgan Report appeared first on Investor's Business Daily."	Stock Futures Climb As Dow Jones Stocks Goldman, J&J and JPMorgan Report
Tue, 16 Jul 2019 08:08:55 -0400	Positive	Goldman Sachs delivered an earnings beat with $5.81 a share, vs $4.89 EPS expected.	Goldman Sachs Q2 earnings beat analysts' expectations
Tue, 16 Jul 2019 08:06:31 -0400	Positive	Goldman Sachs Group Inc  reported a better-than-expected quarterly profit on Tuesday as the Wall Street investment bank benefited from higher equity trading and an increase in lending to its wealthy clients and companies.	Goldman Sachs profit beats expectations on equity trading, lending
Tue, 16 Jul 2019 07:48:49 -0400	Positive	Shares of Goldman Sachs Group Inc. GS, -1.10% surged 1.2% in premarket trading Tuesday, after the investment bank reported second-quarter earnings and revenue that fell, but were well above expectations, and raised its dividend by 47%.	Goldman Sachs' stock surges after big profit and revenue beats, raised dividend
Tue, 16 Jul 2019 07:42:15 -0400	Positive	Goldman Sachs Group Inc (NYSE: GS) reported second-quarter earnings at $5.81, beating analysts estimate of $5 per share.	Goldman Sachs Reports Q2 Earnings Beat
Tue, 16 Jul 2019 06:59:56 -0400	Positive	JPMorgan Chase (JPM) reported better-than-expected second-quarter earnings early Tuesday, helped by an income tax boost.	JPMorgan, Goldman Sachs Earnings Beat Views Wells Fargo Due
Tue, 16 Jul 2019 06:40:00 -0400	Positive	Analysts polled by Refinitiv are expecting earnings of $4.89 per share and revenue of $88.828 billion when Goldman Sachs reports second-quarter earnings Tuesday.	Goldman Sachs will report earnings before the bell — here's what the Street expects
Mon, 15 Jul 2019 16:55:36 -0400	Positive	"Dick Kovacevich, former Wells Fargo chairman and CEO, joins CNBC's ""Closing Bell"" to give his take on upcoming bank earnings."	Former Wells Fargo CEO: We'll see positive, not rubust bank earnings
Mon, 15 Jul 2019 15:34:55 -0400	Positive	These Dow Jones stocks are in the spotlight as investor sentiment perks up a bit. Here's what you should know about each stock.	5 Dow Jones Stocks to Buy Now
Mon, 15 Jul 2019 14:32:11 -0400	Negative	Goldman Sachs Group (NYSE: GS) unveils its next round of earnings this Tuesday, July 16.	Goldman Sachs Q2 Earnings Preview
Mon, 15 Jul 2019 12:05:00 -0400	Neutral	Practically all the major banks are expected to post their latest earnings this week.	What to Expect When Goldman Sachs, JPMorgan and Wells Fargo Report Tuesday
Mon, 15 Jul 2019 11:00:00 -0400	Negative	Goldman Sachs is slated to release its Q2 2019 results on 16th July. Consensus figures point to a 4% decline in revenues y-o-y to $9.05 billion, and a 14% slide in the EPS figure to $5.15.	Subdued Trading Activity, Declining Operating Margin Would Have Hurt Goldman's Q2 Results
Mon, 15 Jul 2019 10:24:14 -0400	Neutral	Earnings season shifted into first gear Monday as Citigroup Inc (NYSE: C) posted better than expected results and saw shares rise in pre-market trading.	Earnings Season Starts With Beat From Citigroup; Other Banks, Netflix Report Later In Week
Mon, 15 Jul 2019 10:16:23 -0400	Positive	"William Cohan, who worked as an investment banker for 17 years and writes about Wall Street as a special correspondent for Vanity Fair, joins ""Squawk Box"" to discuss the state of the banking sector."	An industry veteran breaks down the state of Big Banks
Mon, 15 Jul 2019 08:44:00 -0400	Neutral	Goldman Sachs is expected to earn $4.82/share on $8.66 billion in revenue. Meanwhile, the so-called Whisper number is $5.25	Earnings Preview: What To Expect From Goldman Sachs On Tuesday
Sun, 14 Jul 2019 10:25:52 -0400	Neutral	Practically all the major banks are reporting their second-quarter financial results this week.	JPMorgan, Wells Fargo, Citigroup, Goldman Sachs and More Major Financial Earnings This Week
Fri, 12 Jul 2019 18:05:00 -0400	Negative	Muted trading activities likely to mar Goldman's (GS) second-quarter earnings.	Soft Trading Activities to Hurt Goldman's (GS) Q2 Earnings
Fri, 12 Jul 2019 17:45:18 -0400	Positive	Goldman Sachs (GS) closed the most recent trading day at $213.94, moving +1.23% from the previous trading session.	Goldman Sachs (GS) Outpaces Stock Market Gains: What You Should Know
Fri, 12 Jul 2019 10:35:25 -0400	Neutral	Jul.12 -- Bloomberg's Sonali Basak and Bloomberg Intelligence's Alison Williams examine U.S.banks as they prepare to report second-quarter results.	What to Watch for in Second-Quarter U.S. Bank Earnings
Fri, 12 Jul 2019 09:59:25 -0400	Positive	The big banks are kicking off second quarter earnings season but 2019 is not 2016.	Zacks Investment Research: Goldman Sachs´s Earnings Chart
Fri, 12 Jul 2019 07:11:35 -0400	Positive	Low interest rates and weak trading volume have pushed down Wall Street's second-quarter estimates for the biggest U.S. banks, yet investors still say they want in on the sector.	Expectations are low for bank earnings but investors say 'buy'
Thu, 11 Jul 2019 21:23:15 -0400	Positive	Record highs for U.S. stocks are partly the result of rising valuations, but shares of these solid companies have managed to stay cheap.	8 Bargain Blue Chips Hidden Amid Stock Market's Rise To Record
Wed, 10 Jul 2019 11:55:00 -0400	Positive	Financials ring in the beginning of the earnings season next week, and one options trader is placing her bets on two major banking stocks.	Citi and one other banking stock could pop into earnings, trader says
Tue, 09 Jul 2019 10:30:29 -0400	Negative	Goldman (GS) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.	Earnings Preview: Goldman Sachs (GS) Q2 Earnings Expected to Decline
Mon, 08 Jul 2019 14:58:03 -0400	Positive	"The ""Halftime Report"" traders give their top stocks to watch for the second half."	Final trades: JPMorgan, Alaska Airlines, Goldman Sachs & Synopsys
Mon, 08 Jul 2019 12:01:00 -0400	Positive	The latest authorization from the Federal Reserve gave big banks the green light.	A Foolish Take: Bank Dividends Are Soaring
